Hilal,male,Kanjirapally,hilal2001@gmail.com,789023451, Integrated Mca
Arjun Nair,male,Mdhyapresh,arjunnair2001@gmail.com,689823456, Integrated Mca
Athira R,female,Kumaly,athirar@gmail.com,789023456, Integrated Mca
Vimal S,male,Vayanad,vimals2@gmail.com,679812345, Integrated Mca
Amrutha p,female,Ampalapuzha,amrutha23@gmail.com,865234524,EC
Anamin S,female,Attukal,anamins2@gmail.com,765434567,EC
Ansu N,female,Kolkata,ansun@gmail.com,87965432,EC
Althaf  S H,male,Kanjirapally,althafsh@gmail.com,678923456,EC
Asif M,female,Kannur,asifm@gmali.com,789034562,Mechanical Engineering
Bindu A,female,Mdhyapresh,bindua@gmal.com,7890234567,Mechanical Engineering
Avil M,female,Thiruvananthapuram,avilm@gmail.com,723458905,Mechanical Engineering
Amil V,male,Delhi,amilv@gmail.com,7895234567,Mechanical Engineering
Akhil S,male,Kanjirappally,akhils@gmail.com,7723451897,Computer Science
Anjali S,female,Malappuram,anjali@gmail.com,7856224155,Computer Science
Ameena P,female,Alappuzha,ameenap@gmail.com,872345678,Computer Science
Anwar S,male,Hydrabad,anwar@gmail.com,7896234567,Computer Science
Allen M,male,Pathanamthitta,allenm@gmail.com,7894235678,BCA
Adhi R,female,Haryana,adhir@gmail.com,7654234567,BCA
Aneeta K,female,Wayanad,aneetak@gmail.com,7654234567,BCA
Avinash K,male,Vandanam,avinashk@gmail.com,789562345,BCA
